"intersection_id","tollgate_id","time_window","avg_travel_time","start_month","start_day","start_hour","start_minute"
"B","3","[2016-07-19 00:00:00,2016-07-19 00:20:00)","70.85","7","19","0","0"
"B","3","[2016-07-19 00:20:00,2016-07-19 00:40:00)","148.79","7","19","0","20"
"B","3","[2016-07-19 01:40:00,2016-07-19 02:00:00)","93.72","7","19","1","40"
"B","3","[2016-07-19 02:00:00,2016-07-19 02:20:00)","67.81","7","19","2","0"
"B","3","[2016-07-19 02:40:00,2016-07-19 03:00:00)","167.55","7","19","2","40"
"B","3","[2016-07-19 03:40:00,2016-07-19 04:00:00)","98.49","7","19","3","40"
"B","3","[2016-07-19 04:00:00,2016-07-19 04:20:00)","96.67","7","19","4","0"
"B","3","[2016-07-19 04:20:00,2016-07-19 04:40:00)","53.15","7","19","4","20"
"B","3","[2016-07-19 04:40:00,2016-07-19 05:00:00)","55.25","7","19","4","40"
"B","3","[2016-07-19 05:00:00,2016-07-19 05:20:00)","209.66","7","19","5","0"
"B","3","[2016-07-19 06:00:00,2016-07-19 06:20:00)","145.94","7","19","6","0"
"B","3","[2016-07-19 06:20:00,2016-07-19 06:40:00)","127.35","7","19","6","20"
"B","3","[2016-07-19 06:40:00,2016-07-19 07:00:00)","97.2","7","19","6","40"
"B","3","[2016-07-19 07:00:00,2016-07-19 07:20:00)","118.43","7","19","7","0"
"B","3","[2016-07-19 07:20:00,2016-07-19 07:40:00)","82.63","7","19","7","20"
"B","3","[2016-07-19 07:40:00,2016-07-19 08:00:00)","110.5","7","19","7","40"
"B","3","[2016-07-19 08:00:00,2016-07-19 08:20:00)","125.76","7","19","8","0"
"B","3","[2016-07-19 08:20:00,2016-07-19 08:40:00)","141.33","7","19","8","20"
"B","3","[2016-07-19 08:40:00,2016-07-19 09:00:00)","176.08","7","19","8","40"
"B","3","[2016-07-19 09:00:00,2016-07-19 09:20:00)","165.29","7","19","9","0"
"B","3","[2016-07-19 09:20:00,2016-07-19 09:40:00)","127.38","7","19","9","20"
"B","3","[2016-07-19 09:40:00,2016-07-19 10:00:00)","117.83","7","19","9","40"
"B","3","[2016-07-19 10:00:00,2016-07-19 10:20:00)","98.92","7","19","10","0"
"B","3","[2016-07-19 10:20:00,2016-07-19 10:40:00)","113.0","7","19","10","20"
"B","3","[2016-07-19 10:40:00,2016-07-19 11:00:00)","98.15","7","19","10","40"
"B","3","[2016-07-19 11:00:00,2016-07-19 11:20:00)","95.98","7","19","11","0"
"B","3","[2016-07-19 11:20:00,2016-07-19 11:40:00)","84.36","7","19","11","20"
"B","3","[2016-07-19 11:40:00,2016-07-19 12:00:00)","96.54","7","19","11","40"
"B","3","[2016-07-19 12:00:00,2016-07-19 12:20:00)","144.87","7","19","12","0"
"B","3","[2016-07-19 12:20:00,2016-07-19 12:40:00)","136.36","7","19","12","20"
"B","3","[2016-07-19 12:40:00,2016-07-19 13:00:00)","129.5","7","19","12","40"
"B","3","[2016-07-19 13:00:00,2016-07-19 13:20:00)","116.47","7","19","13","0"
"B","3","[2016-07-19 13:20:00,2016-07-19 13:40:00)","119.37","7","19","13","20"
"B","3","[2016-07-19 13:40:00,2016-07-19 14:00:00)","176.65","7","19","13","40"
"B","3","[2016-07-19 14:00:00,2016-07-19 14:20:00)","159.46","7","19","14","0"
"B","3","[2016-07-19 14:20:00,2016-07-19 14:40:00)","129.48","7","19","14","20"
"B","3","[2016-07-19 14:40:00,2016-07-19 15:00:00)","120.24","7","19","14","40"
"B","3","[2016-07-19 15:00:00,2016-07-19 15:20:00)","115.29","7","19","15","0"
"B","3","[2016-07-19 15:20:00,2016-07-19 15:40:00)","129.47","7","19","15","20"
"B","3","[2016-07-19 15:40:00,2016-07-19 16:00:00)","120.76","7","19","15","40"
"B","3","[2016-07-19 16:00:00,2016-07-19 16:20:00)","116.07","7","19","16","0"
"B","3","[2016-07-19 16:20:00,2016-07-19 16:40:00)","152.5","7","19","16","20"
"B","3","[2016-07-19 16:40:00,2016-07-19 17:00:00)","101.66","7","19","16","40"
"B","3","[2016-07-19 17:00:00,2016-07-19 17:20:00)","139.36","7","19","17","0"
"B","3","[2016-07-19 17:20:00,2016-07-19 17:40:00)","103.67","7","19","17","20"
"B","3","[2016-07-19 17:40:00,2016-07-19 18:00:00)","109.3","7","19","17","40"
"B","3","[2016-07-19 18:00:00,2016-07-19 18:20:00)","108.3","7","19","18","0"
"B","3","[2016-07-19 18:20:00,2016-07-19 18:40:00)","91.94","7","19","18","20"
"B","3","[2016-07-19 18:40:00,2016-07-19 19:00:00)","106.92","7","19","18","40"
"B","3","[2016-07-19 19:20:00,2016-07-19 19:40:00)","115.99","7","19","19","20"
"B","3","[2016-07-19 19:40:00,2016-07-19 20:00:00)","209.49","7","19","19","40"
"B","3","[2016-07-19 20:00:00,2016-07-19 20:20:00)","112.25","7","19","20","0"
"B","3","[2016-07-19 20:40:00,2016-07-19 21:00:00)","96.82","7","19","20","40"
"B","3","[2016-07-19 21:20:00,2016-07-19 21:40:00)","133.02","7","19","21","20"
"B","3","[2016-07-19 21:40:00,2016-07-19 22:00:00)","96.96","7","19","21","40"
"B","3","[2016-07-19 22:00:00,2016-07-19 22:20:00)","149.31","7","19","22","0"
"B","3","[2016-07-19 22:20:00,2016-07-19 22:40:00)","100.55","7","19","22","20"
"B","3","[2016-07-19 23:00:00,2016-07-19 23:20:00)","97.07","7","19","23","0"
"B","3","[2016-07-19 23:40:00,2016-07-20 00:00:00)","121.11","7","19","23","40"
"B","3","[2016-07-20 01:00:00,2016-07-20 01:20:00)","93.17","7","20","1","0"
"B","3","[2016-07-20 01:40:00,2016-07-20 02:00:00)","33.25","7","20","1","40"
"B","3","[2016-07-20 02:20:00,2016-07-20 02:40:00)","127.48","7","20","2","20"
"B","3","[2016-07-20 02:40:00,2016-07-20 03:00:00)","157.13","7","20","2","40"
"B","3","[2016-07-20 03:00:00,2016-07-20 03:20:00)","125.75","7","20","3","0"
"B","3","[2016-07-20 03:20:00,2016-07-20 03:40:00)","104.71","7","20","3","20"
"B","3","[2016-07-20 03:40:00,2016-07-20 04:00:00)","148.14","7","20","3","40"
"B","3","[2016-07-20 04:00:00,2016-07-20 04:20:00)","113.72","7","20","4","0"
"B","3","[2016-07-20 04:20:00,2016-07-20 04:40:00)","129.63","7","20","4","20"
"B","3","[2016-07-20 04:40:00,2016-07-20 05:00:00)","59.88","7","20","4","40"
"B","3","[2016-07-20 06:00:00,2016-07-20 06:20:00)","112.36","7","20","6","0"
"B","3","[2016-07-20 06:20:00,2016-07-20 06:40:00)","386.44","7","20","6","20"
"B","3","[2016-07-20 06:40:00,2016-07-20 07:00:00)","130.59","7","20","6","40"
"B","3","[2016-07-20 07:00:00,2016-07-20 07:20:00)","122.35","7","20","7","0"
"B","3","[2016-07-20 07:20:00,2016-07-20 07:40:00)","133.2","7","20","7","20"
"B","3","[2016-07-20 07:40:00,2016-07-20 08:00:00)","137.98","7","20","7","40"
"B","3","[2016-07-20 08:00:00,2016-07-20 08:20:00)","182.66","7","20","8","0"
"B","3","[2016-07-20 08:20:00,2016-07-20 08:40:00)","127.68","7","20","8","20"
"B","3","[2016-07-20 08:40:00,2016-07-20 09:00:00)","134.42","7","20","8","40"
"B","3","[2016-07-20 09:00:00,2016-07-20 09:20:00)","114.74","7","20","9","0"
"B","3","[2016-07-20 09:20:00,2016-07-20 09:40:00)","142.06","7","20","9","20"
"B","3","[2016-07-20 09:40:00,2016-07-20 10:00:00)","170.11","7","20","9","40"
"B","3","[2016-07-20 10:20:00,2016-07-20 10:40:00)","146.52","7","20","10","20"
