"intersection_id" "tollgate_id" "vehicle_id" "starting_time" "travel_seq" "travel_time" "start_month" "start_day" "start_hour" "start_minute" "110" "123" "107" "108" "119" "114" "118" "122"
"78213" "A" 3 1013256 "2016-10-01 00:14:28" "110#2016-10-01 00:14:28#7.76;123#2016-10-01 00:14:36#5.95;107#2016-10-01 00:14:41#4.05;108#2016-10-01 00:14:46#4.08;122#2016-10-01 00:15:58#5.19" 95.19 "10" "01" "00" "14" 14.0463917525773 9.91596638655462 8.39506172839506 9.80392156862745 1.73410404624277 NA NA NA
"78239" "A" 3 1036936 "2016-10-01 00:34:20" "110#2016-10-01 00:34:20#8.95;123#2016-10-01 00:34:29#5.77;107#2016-10-01 00:34:35#2.83;108#2016-10-01 00:34:38#3.47;122#2016-10-01 00:35:33#6.19" 79.19 "10" "01" "00" "34" 12.1787709497207 10.2253032928943 12.0141342756184 11.5273775216138 1.45395799676898 NA NA NA
"79401" "A" 3 1009074 "2016-10-01 09:42:46" "110#2016-10-01 09:42:46#10.15;123#2016-10-01 09:42:56#5.02;107#2016-10-01 09:43:01#2.87;108#2016-10-01 09:43:04#3.34;119#2016-10-01 09:43:07#0.68;122#2016-10-01 09:52:47#39.95" 640.95 "10" "01" "09" "42" 10.7389162561576 11.7529880478088 11.8466898954704 11.9760479041916 13.2352941176471 4.95619524405507 NA NA
"80941" "A" 3 1008681 "2016-10-01 21:17:08" "110#2016-10-01 21:17:08#6.19;123#2016-10-01 21:17:14#3.35;107#2016-10-01 21:17:18#1.93;108#2016-10-01 21:17:20#2.27;122#2016-10-01 21:18:12#12.03" 76.03 "10" "01" "21" "17" 17.6090468497577 17.6119402985075 17.6165803108808 17.6211453744493 0.748129675810474 NA NA NA
"81614" "A" 3 1022820 "2016-10-02 09:25:46" "110#2016-10-02 09:25:46#16.03;123#2016-10-02 09:26:02#8.68;107#2016-10-02 09:26:11#5.00;108#2016-10-02 09:26:16#5.88;122#2016-10-02 09:27:54#6.07" 134.07 "10" "02" "09" "25" 6.79975046787274 6.79723502304148 6.8 6.80272108843537 1.4827018121911 NA NA NA
"81722" "A" 3 1047074 "2016-10-02 09:56:30" "110#2016-10-02 09:56:30#52.03;123#2016-10-02 09:57:22#28.17;114#2016-10-02 10:02:48#83.15;118#2016-10-02 10:04:11#24.94;122#2016-10-02 10:04:36#31.57" 517.57 "10" "02" "09" "56" 2.09494522390928 2.09442669506567 0.408899579073963 1.60384923817161 0.285080772885651 NA NA NA
"81794" "A" 3 1011723 "2016-10-02 10:35:20" "110#2016-10-02 10:35:20#12.49;118#2016-10-02 10:36:41#33.42;122#2016-10-02 10:37:14#27.58" 141.58 "10" "02" "10" "35" 8.72698158526821 1.76540993417115 1.23277737490935 NA NA NA NA NA
"81806" "A" 3 1035050 "2016-10-02 10:40:24" "110#2016-10-02 10:40:24#14.53;123#2016-10-02 10:40:38#15.16;107#2016-10-02 10:40:53#34.93;108#2016-10-02 10:41:28#13.38;114#2016-10-02 10:41:43#20.61;118#2016-10-02 10:42:03#29.32;122#2016-10-02 10:42:33#25.01" 154.01 "10" "02" "10" "40" 7.50172057811425 3.89182058047493 0.973375322072717 2.98953662182362 0.436681222707424 6.75306957708049 8.23670531787285 NA
"82064" "A" 3 1047305 "2016-10-02 13:04:16" "110#2016-10-02 13:04:16#10.58;123#2016-10-02 13:04:26#5.35;107#2016-10-02 13:04:32#3.53;108#2016-10-02 13:04:35#4.08;122#2016-10-02 13:05:40#9.63" 93.63 "10" "02" "13" "04" 10.3024574669187 11.0280373831776 9.63172804532578 9.80392156862745 0.934579439252336 NA NA NA
"82256" "A" 3 1023099 "2016-10-02 14:14:24" "110#2016-10-02 14:14:24#10.08;123#2016-10-02 14:14:34#5.68;107#2016-10-02 14:14:39#3.13;108#2016-10-02 14:14:42#3.49;122#2016-10-02 14:15:50#14.38" 100.38 "10" "02" "14" "14" 10.8134920634921 10.387323943662 10.8626198083067 11.4613180515759 0.62586926286509 NA NA NA
