,tollgate_id,time_window,direction,volume,vehicle_typeNa,vehicle_type0,vehicle_type1,start_month_x_x,start_day_x_x,start_hour_x_x,start_minute_x_x
0,3,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,17,17.0,0.0,0.0,9,19,0,0
1,3,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1,181,0.0,160.0,21.0,9,19,0,0
2,1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,13,13.0,0.0,0.0,9,19,0,0
3,1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1,140,0.0,109.0,31.0,9,19,0,0
4,2,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,2,2.0,0.0,0.0,9,19,0,0
5,1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,6,6.0,0.0,0.0,9,19,0,20
6,1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1,56,0.0,40.0,16.0,9,19,0,20
7,3,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,16,16.0,0.0,0.0,9,19,0,20
8,3,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1,112,0.0,96.0,16.0,9,19,0,20
9,3,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,16,16.0,0.0,0.0,9,19,0,40
10,3,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1,93,0.0,77.0,16.0,9,19,0,40
11,1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,9,9.0,0.0,0.0,9,19,0,40
12,1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1,31,0.0,20.0,11.0,9,19,0,40
13,3,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,17,17.0,0.0,0.0,9,19,1,0
14,3,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1,4,0.0,4.0,0.0,9,19,1,0
15,2,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,1,1.0,0.0,0.0,9,19,1,0
16,1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,10,10.0,0.0,0.0,9,19,1,0
17,1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1,4,0.0,2.0,2.0,9,19,1,0
18,1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,14,14.0,0.0,0.0,9,19,1,20
19,1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1,14,0.0,8.0,6.0,9,19,1,20
20,3,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,17,17.0,0.0,0.0,9,19,1,20
21,3,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1,5,0.0,2.0,3.0,9,19,1,20
22,2,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,2,2.0,0.0,0.0,9,19,1,40
23,1,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,10,10.0,0.0,0.0,9,19,1,40
24,1,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",1,7,0.0,4.0,3.0,9,19,1,40
25,3,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,11,11.0,0.0,0.0,9,19,1,40
26,3,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",1,4,0.0,3.0,1.0,9,19,1,40
27,1,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0,7,7.0,0.0,0.0,9,19,2,0
28,1,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",1,7,0.0,2.0,5.0,9,19,2,0
29,3,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0,11,11.0,0.0,0.0,9,19,2,0
30,3,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",1,5,0.0,3.0,2.0,9,19,2,0
31,1,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0,10,10.0,0.0,0.0,9,19,2,20
32,1,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",1,7,0.0,2.0,5.0,9,19,2,20
33,3,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0,14,14.0,0.0,0.0,9,19,2,20
34,3,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",1,4,0.0,3.0,1.0,9,19,2,20
35,1,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",0,6,6.0,0.0,0.0,9,19,2,40
36,1,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",1,10,0.0,6.0,4.0,9,19,2,40
37,3,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",0,18,18.0,0.0,0.0,9,19,2,40
38,3,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",0,10,10.0,0.0,0.0,9,19,3,0
39,3,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",1,5,0.0,3.0,2.0,9,19,3,0
40,1,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",0,9,9.0,0.0,0.0,9,19,3,0
41,1,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",1,10,0.0,4.0,6.0,9,19,3,0
42,1,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",0,4,4.0,0.0,0.0,9,19,3,20
43,1,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",1,14,0.0,1.0,13.0,9,19,3,20
44,3,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",0,10,10.0,0.0,0.0,9,19,3,20
45,3,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",1,3,0.0,2.0,1.0,9,19,3,20
46,3,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",0,9,9.0,0.0,0.0,9,19,3,40
47,3,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",1,10,0.0,4.0,6.0,9,19,3,40
48,1,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",0,9,9.0,0.0,0.0,9,19,3,40
49,1,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",1,20,0.0,7.0,13.0,9,19,3,40
