"tollgate_id","time_window","direction","volume_vehicle_model1","start_month","start_day","start_hour","start_minute"
"3","[2016-09-19 00:00:00,2016-09-19 00:20:00)","0","11","9","19","0","0"
"3","[2016-09-19 00:00:00,2016-09-19 00:20:00)","1","162","9","19","0","0"
"1","[2016-09-19 00:00:00,2016-09-19 00:20:00)","0","10","9","19","0","0"
"1","[2016-09-19 00:00:00,2016-09-19 00:20:00)","1","125","9","19","0","0"
"2","[2016-09-19 00:00:00,2016-09-19 00:20:00)","0","1","9","19","0","0"
"1","[2016-09-19 00:20:00,2016-09-19 00:40:00)","0","6","9","19","0","20"
"1","[2016-09-19 00:20:00,2016-09-19 00:40:00)","1","41","9","19","0","20"
"3","[2016-09-19 00:20:00,2016-09-19 00:40:00)","0","14","9","19","0","20"
"3","[2016-09-19 00:20:00,2016-09-19 00:40:00)","1","92","9","19","0","20"
"3","[2016-09-19 00:40:00,2016-09-19 01:00:00)","0","13","9","19","0","40"
"3","[2016-09-19 00:40:00,2016-09-19 01:00:00)","1","73","9","19","0","40"
"1","[2016-09-19 00:40:00,2016-09-19 01:00:00)","0","6","9","19","0","40"
"1","[2016-09-19 00:40:00,2016-09-19 01:00:00)","1","20","9","19","0","40"
"3","[2016-09-19 01:00:00,2016-09-19 01:20:00)","0","16","9","19","1","0"
"3","[2016-09-19 01:00:00,2016-09-19 01:20:00)","1","4","9","19","1","0"
"2","[2016-09-19 01:00:00,2016-09-19 01:20:00)","0","1","9","19","1","0"
"1","[2016-09-19 01:00:00,2016-09-19 01:20:00)","0","7","9","19","1","0"
"1","[2016-09-19 01:00:00,2016-09-19 01:20:00)","1","3","9","19","1","0"
"1","[2016-09-19 01:20:00,2016-09-19 01:40:00)","0","10","9","19","1","20"
"1","[2016-09-19 01:20:00,2016-09-19 01:40:00)","1","9","9","19","1","20"
"3","[2016-09-19 01:20:00,2016-09-19 01:40:00)","0","14","9","19","1","20"
"3","[2016-09-19 01:20:00,2016-09-19 01:40:00)","1","4","9","19","1","20"
"2","[2016-09-19 01:40:00,2016-09-19 02:00:00)","0","2","9","19","1","40"
"1","[2016-09-19 01:40:00,2016-09-19 02:00:00)","0","9","9","19","1","40"
"1","[2016-09-19 01:40:00,2016-09-19 02:00:00)","1","5","9","19","1","40"
"3","[2016-09-19 01:40:00,2016-09-19 02:00:00)","0","7","9","19","1","40"
"3","[2016-09-19 01:40:00,2016-09-19 02:00:00)","1","3","9","19","1","40"
"1","[2016-09-19 02:00:00,2016-09-19 02:20:00)","0","3","9","19","2","0"
"1","[2016-09-19 02:00:00,2016-09-19 02:20:00)","1","4","9","19","2","0"
"3","[2016-09-19 02:00:00,2016-09-19 02:20:00)","0","10","9","19","2","0"
"3","[2016-09-19 02:00:00,2016-09-19 02:20:00)","1","3","9","19","2","0"
"3","[2016-09-19 02:20:00,2016-09-19 02:40:00)","0","11","9","19","2","20"
"3","[2016-09-19 02:20:00,2016-09-19 02:40:00)","1","3","9","19","2","20"
"1","[2016-09-19 02:20:00,2016-09-19 02:40:00)","0","3","9","19","2","20"
"1","[2016-09-19 02:20:00,2016-09-19 02:40:00)","1","5","9","19","2","20"
"3","[2016-09-19 02:40:00,2016-09-19 03:00:00)","0","14","9","19","2","40"
"1","[2016-09-19 02:40:00,2016-09-19 03:00:00)","1","8","9","19","2","40"
"1","[2016-09-19 03:00:00,2016-09-19 03:20:00)","0","5","9","19","3","0"
"1","[2016-09-19 03:00:00,2016-09-19 03:20:00)","1","7","9","19","3","0"
"3","[2016-09-19 03:00:00,2016-09-19 03:20:00)","0","8","9","19","3","0"
"3","[2016-09-19 03:00:00,2016-09-19 03:20:00)","1","3","9","19","3","0"
"1","[2016-09-19 03:20:00,2016-09-19 03:40:00)","0","3","9","19","3","20"
"1","[2016-09-19 03:20:00,2016-09-19 03:40:00)","1","8","9","19","3","20"
"3","[2016-09-19 03:20:00,2016-09-19 03:40:00)","0","9","9","19","3","20"
"3","[2016-09-19 03:20:00,2016-09-19 03:40:00)","1","2","9","19","3","20"
"3","[2016-09-19 03:40:00,2016-09-19 04:00:00)","0","8","9","19","3","40"
"3","[2016-09-19 03:40:00,2016-09-19 04:00:00)","1","5","9","19","3","40"
"1","[2016-09-19 03:40:00,2016-09-19 04:00:00)","0","5","9","19","3","40"
"1","[2016-09-19 03:40:00,2016-09-19 04:00:00)","1","17","9","19","3","40"
"3","[2016-09-19 04:00:00,2016-09-19 04:20:00)","0","9","9","19","4","0"
"3","[2016-09-19 04:00:00,2016-09-19 04:20:00)","1","3","9","19","4","0"
"1","[2016-09-19 04:00:00,2016-09-19 04:20:00)","0","6","9","19","4","0"
"1","[2016-09-19 04:00:00,2016-09-19 04:20:00)","1","18","9","19","4","0"
"3","[2016-09-19 04:20:00,2016-09-19 04:40:00)","0","5","9","19","4","20"
"3","[2016-09-19 04:20:00,2016-09-19 04:40:00)","1","5","9","19","4","20"
"1","[2016-09-19 04:20:00,2016-09-19 04:40:00)","0","9","9","19","4","20"
"1","[2016-09-19 04:20:00,2016-09-19 04:40:00)","1","13","9","19","4","20"
"1","[2016-09-19 04:40:00,2016-09-19 05:00:00)","0","8","9","19","4","40"
