"tollgate_id","time_window","direction","vehicle_type1","start_month","start_day","start_hour","start_minute"
"3","[2016-09-19 00:00:00,2016-09-19 00:20:00)","1","21","9","19","0","0"
"1","[2016-09-19 00:00:00,2016-09-19 00:20:00)","1","31","9","19","0","0"
"1","[2016-09-19 00:20:00,2016-09-19 00:40:00)","1","16","9","19","0","20"
"3","[2016-09-19 00:20:00,2016-09-19 00:40:00)","1","16","9","19","0","20"
"1","[2016-09-19 00:40:00,2016-09-19 01:00:00)","1","11","9","19","0","40"
"3","[2016-09-19 00:40:00,2016-09-19 01:00:00)","1","16","9","19","0","40"
"1","[2016-09-19 01:00:00,2016-09-19 01:20:00)","1","2","9","19","1","0"
"3","[2016-09-19 01:20:00,2016-09-19 01:40:00)","1","3","9","19","1","20"
"1","[2016-09-19 01:20:00,2016-09-19 01:40:00)","1","6","9","19","1","20"
"1","[2016-09-19 01:40:00,2016-09-19 02:00:00)","1","3","9","19","1","40"
"3","[2016-09-19 01:40:00,2016-09-19 02:00:00)","1","1","9","19","1","40"
"3","[2016-09-19 02:00:00,2016-09-19 02:20:00)","1","2","9","19","2","0"
"1","[2016-09-19 02:00:00,2016-09-19 02:20:00)","1","5","9","19","2","0"
"1","[2016-09-19 02:20:00,2016-09-19 02:40:00)","1","5","9","19","2","20"
"3","[2016-09-19 02:20:00,2016-09-19 02:40:00)","1","1","9","19","2","20"
"1","[2016-09-19 02:40:00,2016-09-19 03:00:00)","1","4","9","19","2","40"
"3","[2016-09-19 03:00:00,2016-09-19 03:20:00)","1","2","9","19","3","0"
"1","[2016-09-19 03:00:00,2016-09-19 03:20:00)","1","6","9","19","3","0"
"1","[2016-09-19 03:20:00,2016-09-19 03:40:00)","1","13","9","19","3","20"
"3","[2016-09-19 03:20:00,2016-09-19 03:40:00)","1","1","9","19","3","20"
"1","[2016-09-19 03:40:00,2016-09-19 04:00:00)","1","13","9","19","3","40"
